
1 | Program | KEYWORD_PROGRAM
49 | begin | KEYWORD_BEGINK
50 | write | KEYWORD_WRITE
50 | ( | SYMBOL_LPAREN
50 | " | SYMBOL_DQUOTE
50 | array with boolean 2 | STRING
50 | " | SYMBOL_DQUOTE
50 | ) | SYMBOL_RPAREN
50 | ; | SYMBOL_SEMICOLON
51 | end | KEYWORD_END
51 | ; | SYMBOL_SEMICOLON
53 | while | KEYWORD_WHILE
53 | i | IDENTIFIER
53 | < | RELOP_LESS
53 | 3 | INT_NUMBER
53 | do | KEYWORD_DO
53 | begin | KEYWORD_BEGINK
54 | write | KEYWORD_WRITE
54 | ( | SYMBOL_LPAREN
54 | " | SYMBOL_DQUOTE
54 | hello | STRING
54 | " | SYMBOL_DQUOTE
54 | ) | SYMBOL_RPAREN
54 | ; | SYMBOL_SEMICOLON
55 | end | KEYWORD_END
55 | ; | SYMBOL_SEMICOLON
57 | while | KEYWORD_WHILE
57 | ( | SYMBOL_LPAREN
57 | i | IDENTIFIER
57 | < | RELOP_LESS
57 | 3 | INT_NUMBER
57 | ) | SYMBOL_RPAREN
57 | do | KEYWORD_DO
57 | begin | KEYWORD_BEGINK
58 | write | KEYWORD_WRITE
58 | ( | SYMBOL_LPAREN
58 | " | SYMBOL_DQUOTE
58 | hello | STRING
58 | " | SYMBOL_DQUOTE
58 | ) | SYMBOL_RPAREN
58 | ; | SYMBOL_SEMICOLON
59 | end | KEYWORD_END
59 | ; | SYMBOL_SEMICOLON
61 | if | KEYWORD_IF
61 | ( | SYMBOL_LPAREN
61 | a | IDENTIFIER
61 | + | AROP_PLUS
61 | v | IDENTIFIER
61 | + | AROP_PLUS
61 | x | IDENTIFIER
61 | - | AROP_MINUS
61 | d | IDENTIFIER
61 | = | RELOP_EQUAL
61 | 1 | INT_NUMBER
61 | ) | SYMBOL_RPAREN
61 | and | KEYWORD_AND
61 | a | IDENTIFIER
61 | = | RELOP_EQUAL
61 | 1 | INT_NUMBER
61 | then | KEYWORD_THEN
61 | begin | KEYWORD_BEGINK
62 | write | KEYWORD_WRITE
62 | ( | SYMBOL_LPAREN
62 | " | SYMBOL_DQUOTE
62 | expression | STRING
62 | " | SYMBOL_DQUOTE
62 | ) | SYMBOL_RPAREN
62 | ; | SYMBOL_SEMICOLON
63 | end | KEYWORD_END
63 | ; | SYMBOL_SEMICOLON
65 | if | KEYWORD_IF
65 | ( | SYMBOL_LPAREN
65 | a | IDENTIFIER
65 | + | AROP_PLUS
65 | ( | SYMBOL_LPAREN
65 | v | IDENTIFIER
65 | + | AROP_PLUS
65 | x | IDENTIFIER
65 | ) | SYMBOL_RPAREN
65 | - | AROP_MINUS
65 | d | IDENTIFIER
65 | = | RELOP_EQUAL
65 | 1 | INT_NUMBER
65 | ) | SYMBOL_RPAREN
65 | and | KEYWORD_AND
65 | a | IDENTIFIER
65 | = | RELOP_EQUAL
65 | 1 | INT_NUMBER
65 | then | KEYWORD_THEN
65 | begin | KEYWORD_BEGINK
66 | write | KEYWORD_WRITE
66 | ( | SYMBOL_LPAREN
66 | " | SYMBOL_DQUOTE
66 | expression | STRING
66 | " | SYMBOL_DQUOTE
66 | ) | SYMBOL_RPAREN
66 | ; | SYMBOL_SEMICOLON
67 | end | KEYWORD_END
67 | ; | SYMBOL_SEMICOLON
70 | if | KEYWORD_IF
70 | ( | SYMBOL_LPAREN
70 | a | IDENTIFIER
70 | + | AROP_PLUS
70 | v | IDENTIFIER
70 | + | AROP_PLUS
70 | ( | SYMBOL_LPAREN
70 | x | IDENTIFIER
70 | ) | SYMBOL_RPAREN
70 | - | AROP_MINUS
70 | d | IDENTIFIER
70 | ) | SYMBOL_RPAREN
70 | then | KEYWORD_THEN
70 | begin | KEYWORD_BEGINK
71 | write | KEYWORD_WRITE
71 | ( | SYMBOL_LPAREN
71 | " | SYMBOL_DQUOTE
71 | expression | STRING
71 | " | SYMBOL_DQUOTE
71 | ) | SYMBOL_RPAREN
71 | ; | SYMBOL_SEMICOLON
72 | end | KEYWORD_END
72 | ; | SYMBOL_SEMICOLON
74 | if | KEYWORD_IF
74 | ( | SYMBOL_LPAREN
74 | not | KEYWORD_NOT
74 | doors | IDENTIFIER
74 | [ | SYMBOL_LBRACKET
74 | i | IDENTIFIER
74 | ] | SYMBOL_RBRACKET
74 | ) | SYMBOL_RPAREN
74 | or | KEYWORD_OR
74 | ( | SYMBOL_LPAREN
74 | not | KEYWORD_NOT
74 | doors | IDENTIFIER
74 | [ | SYMBOL_LBRACKET
74 | i | IDENTIFIER
74 | ] | SYMBOL_RBRACKET
74 | ) | SYMBOL_RPAREN
74 | then | KEYWORD_THEN
74 | begin | KEYWORD_BEGINK
75 | write | KEYWORD_WRITE
75 | ( | SYMBOL_LPAREN
75 | " | SYMBOL_DQUOTE
75 | array with boolean and bracket | STRING
75 | " | SYMBOL_DQUOTE
75 | ) | SYMBOL_RPAREN
75 | ; | SYMBOL_SEMICOLON
76 | end | KEYWORD_END
76 | ; | SYMBOL_SEMICOLON
78 | if | KEYWORD_IF
78 | id | IDENTIFIER
78 | and | KEYWORD_AND
78 | id | IDENTIFIER
78 | > | RELOP_GREATER
78 | 2 | INT_NUMBER
78 | then | KEYWORD_THEN
78 | begin | KEYWORD_BEGINK
79 | write | KEYWORD_WRITE
79 | ( | SYMBOL_LPAREN
79 | " | SYMBOL_DQUOTE
79 | array with boolean and bracket | STRING
79 | " | SYMBOL_DQUOTE
79 | ) | SYMBOL_RPAREN
79 | ; | SYMBOL_SEMICOLON
80 | end | KEYWORD_END
80 | ; | SYMBOL_SEMICOLON
82 | if | KEYWORD_IF
82 | ( | SYMBOL_LPAREN
82 | ( | SYMBOL_LPAREN
82 | not | KEYWORD_NOT
82 | doors | IDENTIFIER
82 | [ | SYMBOL_LBRACKET
82 | i | IDENTIFIER
82 | ] | SYMBOL_RBRACKET
82 | ) | SYMBOL_RPAREN
82 | or | KEYWORD_OR
82 | ( | SYMBOL_LPAREN
82 | not | KEYWORD_NOT
82 | doors | IDENTIFIER
82 | [ | SYMBOL_LBRACKET
82 | i | IDENTIFIER
82 | ] | SYMBOL_RBRACKET
82 | ) | SYMBOL_RPAREN
82 | ) | SYMBOL_RPAREN
82 | then | KEYWORD_THEN
82 | begin | KEYWORD_BEGINK
83 | write | KEYWORD_WRITE
83 | ( | SYMBOL_LPAREN
83 | " | SYMBOL_DQUOTE
83 | array with boolean and bracket | STRING
83 | " | SYMBOL_DQUOTE
83 | ) | SYMBOL_RPAREN
83 | ; | SYMBOL_SEMICOLON
84 | end | KEYWORD_END
84 | ; | SYMBOL_SEMICOLON
86 | if | KEYWORD_IF
86 | ( | SYMBOL_LPAREN
86 | not | KEYWORD_NOT
86 | doors | IDENTIFIER
86 | [ | SYMBOL_LBRACKET
86 | i | IDENTIFIER
86 | ] | SYMBOL_RBRACKET
86 | ) | SYMBOL_RPAREN
86 | or | KEYWORD_OR
86 | ( | SYMBOL_LPAREN
86 | not | KEYWORD_NOT
86 | doors | IDENTIFIER
86 | [ | SYMBOL_LBRACKET
86 | i | IDENTIFIER
86 | ] | SYMBOL_RBRACKET
86 | ) | SYMBOL_RPAREN
86 | and | KEYWORD_AND
86 | not | KEYWORD_NOT
86 | x | IDENTIFIER
86 | then | KEYWORD_THEN
86 | begin | KEYWORD_BEGINK
87 | write | KEYWORD_WRITE
87 | ( | SYMBOL_LPAREN
87 | " | SYMBOL_DQUOTE
87 | array with boolean and bracket | STRING
87 | " | SYMBOL_DQUOTE
87 | ) | SYMBOL_RPAREN
87 | ; | SYMBOL_SEMICOLON
88 | end | KEYWORD_END
88 | ; | SYMBOL_SEMICOLON
90 | if | KEYWORD_IF
90 | ( | SYMBOL_LPAREN
90 | not | KEYWORD_NOT
90 | doors | IDENTIFIER
90 | [ | SYMBOL_LBRACKET
90 | i | IDENTIFIER
90 | ] | SYMBOL_RBRACKET
90 | or | KEYWORD_OR
90 | not | KEYWORD_NOT
90 | doors | IDENTIFIER
90 | [ | SYMBOL_LBRACKET
90 | i | IDENTIFIER
90 | ] | SYMBOL_RBRACKET
90 | ) | SYMBOL_RPAREN
90 | then | KEYWORD_THEN
90 | begin | KEYWORD_BEGINK
91 | write | KEYWORD_WRITE
91 | ( | SYMBOL_LPAREN
91 | " | SYMBOL_DQUOTE
91 | array with boolean and bracket | STRING
91 | " | SYMBOL_DQUOTE
91 | ) | SYMBOL_RPAREN
91 | ; | SYMBOL_SEMICOLON
92 | end | KEYWORD_END
92 | ; | SYMBOL_SEMICOLON
93 | write | KEYWORD_WRITE
93 | ( | SYMBOL_LPAREN
93 | " | SYMBOL_DQUOTE
93 | inside single quore | STRING
93 | " | SYMBOL_DQUOTE
93 | ) | SYMBOL_RPAREN
93 | ; | SYMBOL_SEMICOLON
95 | end | KEYWORD_END
95 | . | SYMBOL_DOT
